id,location_x,location_y
0,78,6
1,96,78
2,53,64
3,42,87
4,44,92
5,6,38
6,93,81
7,79,51
8,31,27
9,59,22
10,36,40
11,30,35
12,89,3
13,13,53
14,11,28
15,88,9
16,50,81
17,58,71
18,43,78
19,5,0
20,60,77
21,2,79
22,24,23
23,16,24
24,29,2
25,17,73
26,92,50
27,6,12
28,58,57
29,38,72
30,4,52
31,57,40
32,5,100
33,33,85
34,19,0
35,43,16
36,100,76
37,100,13
38,61,2
39,89,90
40,2,92
41,59,9
42,62,34
43,9,50
44,95,23
45,98,20
46,18,79
47,30,7
48,96,25
49,1,0
50,34,37
51,53,78
52,21,8
53,79,89
54,23,100
55,52,86
56,77,11
57,18,54
58,9,60
59,89,94
60,59,42
61,36,1
62,6,99
63,7,49
64,5,100
65,8,67
66,78,35
67,10,24
68,5,22
69,80,41
70,12,91
71,70,90
72,12,35
73,31,48
74,60,60
75,0,79
76,89,49
77,38,8
78,50,81
79,49,75
80,55,81
81,88,22
82,18,20
83,65,35
84,92,40
85,76,72
86,6,7
87,91,51
88,50,48
89,88,75
90,0,79
91,59,88
92,33,91
93,70,90
94,81,40
95,73,96
96,12,18
97,66,47
98,10,86
99,95,31
