id,request_time,origin_x,origin_y,destination_x,destination_y,distance,trip_duration
0,6,93,50,4,54,89.09,308.18
1,13,44,98,94,64,60.46,166.39
2,20,80,32,79,55,23.02,92.06
3,21,34,23,86,42,55.36,156.45
4,23,47,70,63,10,62.1,240.26
5,21,0,24,73,93,100.45,368.97
6,14,98,64,79,1,65.8,198.33
7,10,71,41,40,47,31.58,118.14
8,17,32,57,2,2,62.65,202.47
9,7,59,39,65,77,38.47,130.89
10,7,13,12,72,60,76.06,206.8
11,20,26,34,50,42,25.3,89.34
12,12,71,86,92,77,22.85,63.26
13,17,41,98,80,26,81.88,206.25
14,21,90,84,70,85,20.02,63.38
15,11,62,2,95,82,86.54,281.13
16,9,47,59,34,94,37.34,114.43
17,23,100,84,72,64,34.41,101.89
18,11,97,32,92,82,50.25,149.82
19,19,34,3,79,23,49.24,189.6
20,2,44,66,98,71,54.23,190.47
21,12,28,4,32,43,39.2,112.58
22,8,18,13,82,25,65.12,217.25
23,16,76,100,41,18,89.16,332.36
24,11,85,31,39,13,49.4,180.55
25,16,28,54,92,41,65.31,223.9
26,7,51,40,46,15,25.5,100.84
27,16,86,32,63,51,29.83,106.54
28,16,18,86,8,2,84.59,303.15
29,18,67,72,19,40,57.69,150.22
30,21,93,57,88,46,12.08,41.3
31,22,75,5,36,30,46.32,183.25
32,18,85,41,53,29,34.18,89.34
33,20,15,96,4,98,11.18,32.77
34,6,68,78,84,57,26.4,76.5
35,18,68,74,85,69,17.72,60.62
36,19,26,66,81,30,65.73,206.16
37,9,39,80,18,88,22.47,89.03
38,8,33,78,37,28,50.16,131.02
39,10,42,87,10,0,92.7,286.03
40,9,36,36,58,84,52.8,169.88
41,20,97,6,14,32,86.98,296.13
42,20,56,12,5,80,85.0,257.05
43,7,81,79,75,86,9.22,24.52
44,18,55,16,6,12,49.16,175.56
45,20,84,52,90,60,10.0,31.76
46,17,74,55,85,97,43.42,142.05
47,8,45,99,63,8,92.76,337.52
48,18,100,60,21,4,96.83,285.7
49,15,58,13,92,58,56.4,175.86
50,12,83,78,38,74,45.18,141.93
51,21,31,67,6,31,43.83,122.49
52,10,41,6,34,57,51.48,198.55
53,6,61,99,91,72,40.36,138.06
54,19,86,17,54,39,38.83,115.81
55,0,16,18,92,66,89.89,273.63
56,20,64,51,60,5,46.17,129.0
57,11,52,47,60,50,8.54,21.52
58,17,12,70,32,92,29.73,104.82
59,4,82,23,61,20,21.21,69.18
60,8,90,74,47,10,77.1,220.16
61,15,60,28,54,50,22.8,64.98
62,23,46,32,3,3,51.87,198.43
63,16,79,63,52,100,45.8,171.6
64,20,46,47,35,8,40.52,123.64
65,14,6,43,52,3,60.96,228.1
66,7,31,18,62,57,49.82,188.11
67,20,90,88,62,92,28.28,98.01
68,0,90,16,90,82,66.0,235.53
69,14,49,85,9,66,44.28,131.69
70,18,63,38,17,45,46.53,183.73
71,13,96,51,46,2,70.01,244.5
72,11,74,62,28,78,48.7,189.47
73,21,62,58,60,33,25.08,85.5
74,22,46,8,64,3,18.68,62.7
75,9,3,10,87,83,111.29,306.66
76,20,7,13,74,6,67.36,257.48
77,16,55,90,74,100,21.47,75.1
78,18,10,84,43,99,36.25,142.15
79,15,0,28,90,55,93.96,375.55
80,17,4,97,76,42,90.6,278.42
81,18,64,43,72,79,36.88,112.54
82,14,92,76,0,5,116.21,316.12
83,16,41,61,9,96,47.42,147.38
84,17,89,93,13,30,98.72,265.23
85,18,35,22,95,18,60.13,237.89
86,9,20,35,90,28,70.35,206.5
87,18,3,94,2,2,92.01,286.89
88,19,41,51,20,71,29.0,87.49
89,20,17,37,60,82,62.24,189.58
90,19,11,85,74,85,63.0,184.71
91,9,13,26,2,1,27.31,87.05
92,21,7,1,86,27,83.17,328.3
93,17,95,11,97,68,57.04,210.82
94,14,46,69,61,32,39.92,100.65
95,6,16,1,65,26,55.01,200.78
96,7,33,28,7,84,61.74,162.87
97,16,5,86,55,65,54.23,152.47
98,17,4,14,49,57,62.24,177.7
99,6,69,23,8,85,86.98,279.14
